"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Epcam",1.39032946952139e-06,0.609323788346449,0.379,0.258,0.0349375892396031
"Purb",1.59448316279935e-06,0.521194587946738,0.476,0.351,0.0400677673979849
"Fcrls",1.61144843957111e-06,0.837248200529004,0.482,0.391,0.0404940878379825
"Arl6ip5",1.62482540484425e-06,1.10208287832998,0.205,0.111,0.0408302375983311
"Rpl18",1.74470246545293e-06,0.314449178297043,0.991,0.984,0.0438426282543667
"Mafb",1.93968599645342e-06,-0.445997207051861,0.606,0.723,0.0487423694048779
"Pfdn5",1.98562840590708e-06,0.327606554131445,0.927,0.858,0.0498968562120391
"Tor1aip1",1.98998745469977e-06,-0.515061297780826,0.353,0.486,0.0500063947491504
"Rabac1",2.04933658003371e-06,0.418035410975886,0.681,0.554,0.051497778919667
"Ldhb",2.42316849789591e-06,0.645766775110653,0.326,0.208,0.0608918011836263
"Adgre5",2.46878831437656e-06,-1.39366299567604,0.07,0.154,0.0620381815519685
"Zfp36l2",2.9029013231971e-06,-0.570780570998958,0.471,0.582,0.0729470073506198
"Kdm6b",3.03482957939592e-06,-0.570001700645584,0.262,0.388,0.0762622325006401
"Cyb5a",3.15502120442434e-06,0.517835113333903,0.553,0.453,0.0792825278459793
